OG0000009	LdBPK_100010000.1, LdBPK_100010100.1, LdBPK_100010200.1, LdBPK_100010300.1, LdBPK_100010400.1, LdBPK_100010500.1, LdBPK_100010600.1, LdBPK_100010700.1, LdBPK_100010800.1, LdBPK_100010900.1, LdBPK_100011000.1, LdBPK_100011100.1, LdBPK_100011200.1, LdBPK_100011300.1		LINF_100010100-T1-p1, LINF_100010200-T1-p1, LINF_100010300-T1-p1, LINF_100010400-T1-p1, LINF_100010500-T1-p1, LINF_100010600-T1-p1, LINF_100010700-T1-p1, LINF_100010800-T1-p1, LINF_100010900-T1-p1, LINF_100011000-T1-p1, LINF_100011100-T1-p1, LINF_100011200-T1-p1, LINF_100011300-T1-p1	LmjF.10.0460_mRNA-p1, LmjF.10.0465_mRNA-p1, LmjF.10.0470_mRNA-p1, LmjF.10.0480_mRNA-p1	LmxM.10.0390.1-p1, LmxM.10.0405.1-p1, LmxM.10.0460.1-p1, LmxM.10.0465.1-p1, LmxM.10.0465a.1-p1, LmxM.10.0470.1-p1
OG0000010	LdBPK_080013400.1, LdBPK_080013500.1, LdBPK_080013600.1, LdBPK_080013700.1, LdBPK_080013800.1, LdBPK_080013900.1, LdBPK_340010300.1, LdBPK_340010600.1	LbrM.08.2.001100.1-p1, LbrM.08.2.001110.1-p1, LbrM.08.2.202550.1-p1, LbrM.08.2.202570.1-p1, LbrM.08.2.202580.1-p1, LbrM.08.2.202590.1-p1, LbrM.08.2.202600.1-p1, LbrM.08.2.202610.1-p1, LbrM.08.2.202620.1-p1, LbrM.08.2.202630.1-p1, LbrM.08.2.202640.1-p1, LbrM.08.2.202650.1-p1, LbrM.08.2.202660.1-p1, LbrM.08.2.202670.1-p1, LbrM.08.2.202680.1-p1, LbrM.08.2.202690.1-p1	LINF_080012800-T1-p1, LINF_080012900-T1-p1, LINF_080012950-T1-p1	LmjF.08.0800_mRNA-p1, LmjF.08.0810_mRNA-p1, LmjF.08.0820_mRNA-p1, LmjF.08.0830_mRNA-p1, LmjF.08.0840_mRNA-p1, LmjF.08.0850_mRNA-p1	LmxM.08.0800.1-p1, LmxM.08.0840.1-p1, LmxM.08.0850.1-p1
OG0000011	LdBPK_100015500.1, LdBPK_100016900.1, LdBPK_100017100.1, LdBPK_160010700.1, LdBPK_160010800.1, LdBPK_160011100.1, LdBPK_160011200.1	LbrM.10.2.001070.1-p1, LbrM.10.2.203410.1-p1, LbrM.10.2.203420.1-p1, LbrM.10.2.203440.1-p1, LbrM.10.2.203460.1-p1, LbrM.10.2.203480.1-p1, LbrM.10.2.203500.1-p1	LINF_100015400-T1-p1, LINF_100016800-T1-p1, LINF_100017000-T1-p1, LINF_160010900-T1-p1, LINF_160011000-T1-p1, LINF_160011300-T1-p1, LINF_160011400-T1-p1	LmjF.10.0870_mRNA-p1, LmjF.10.0970_mRNA-p1, LmjF.10.0990_mRNA-p1, LmjF.16.0570_mRNA-p1, LmjF.16.0575_mRNA-p1, LmjF.16.0600_mRNA-p1, LmjF.16.0610_mRNA-p1	LmxM.10.0870.1-p1, LmxM.10.0970.1-p1, LmxM.10.0990.1-p1, LmxM.16.0570.1-p1, LmxM.16.0575.1-p1, LmxM.16.0600.1-p1, LmxM.16.0610.1-p1
OG0000012	LdBPK_080015700.1, LdBPK_080015800.1, LdBPK_080015900.1, LdBPK_080016000.1	LbrM.08.2.000810.1-p1, LbrM.08.2.202530.1-p1, LbrM.08.2.202540.1-p1	LINF_080014700-T1-p1, LINF_080014800-T1-p1, LINF_080014900-T1-p1, LINF_080015000-T1-p1, LINF_080015100-T1-p1, LINF_080015200-T1-p1, LINF_080015300-T1-p1, LINF_080015400-T1-p1, LINF_080015500-T1-p1	LmjF.08.1010_mRNA-p1, LmjF.08.1020_mRNA-p1, LmjF.08.1030_mRNA-p1, LmjF.08.1040_mRNA-p1, LmjF.08.1050_mRNA-p1, LmjF.08.1060_mRNA-p1, LmjF.08.1070_mRNA-p1, LmjF.08.1080_mRNA-p1	LmxM.08.1030.1-p1, LmxM.08.1030a.1-p1, LmxM.08.1040.1-p1, LmxM.08.1040b.1-p1, LmxM.08.1040c.1-p1, LmxM.08.1050.1-p1, LmxM.08.1060.1-p1, LmxM.08.1070.1-p1, LmxM.08.1070partial.1-p1, LmxM.08.1080.1-p1
OG0000013	LdBPK_340023300.1		LINF_340024100-T1-p1	LmjF.34.1570_mRNA-p1, LmjF.34.1590_mRNA-p1, LmjF.34.1610_mRNA-p1, LmjF.34.1630_mRNA-p1, LmjF.34.1650_mRNA-p1, LmjF.34.1670_mRNA-p1, LmjF.34.1690_mRNA-p1, LmjF.34.1710_mRNA-p1, LmjF.34.1730_mRNA-p1, LmjF.34.1750_mRNA-p1, LmjF.34.1770_mRNA-p1, LmjF.34.1790_mRNA-p1, LmjF.34.1810_mRNA-p1, LmjF.34.1830_mRNA-p1, LmjF.34.1850_mRNA-p1, LmjF.34.1870_mRNA-p1, LmjF.34.1890_mRNA-p1, LmjF.34.1910_mRNA-p1, LmjF.34.1930_mRNA-p1, LmjF.34.1950_mRNA-p1, LmjF.34.1970_mRNA-p1, LmjF.36.1280_mRNA-p1	LmxM.33.1570.1-p1, LmxM.33.1590.1-p1, LmxM.33.1610.1-p1, LmxM.33.1730.1-p1, LmxM.33.1810.1-p1, LmxM.33.1830.1-p1, LmxM.33.1890.1-p1, LmxM.33.1970.1-p1, LmxM.34.1830a.1-p1, LmxM.36.1280.1-p1
OG0000014	LdBPK_020005100.1, LdBPK_060005000.1, LdBPK_150005000.1, LdBPK_210005100.1, LdBPK_250031500.1, LdBPK_310042200.1, LdBPK_350005100.1, LdBPK_350018300.1, LdBPK_360005100.1	LbrM.02.2.201500.1-p1, LbrM.06.2.202090.1-p1, LbrM.23.2.207740.1-p1, LbrM.25.2.208160.1-p1	LINF_020005100-T1-p1, LINF_060005000-T1-p1, LINF_210005100-T1-p1, LINF_250031800-T1-p1, LINF_310040900-T1-p1, LINF_350005100-T1-p1, LINF_350018000-T1-p1, LINF_360005100-T1-p1	LmjF.02.0020_mRNA-p1, LmjF.06.0010_mRNA-p1, LmjF.25.2450_mRNA-p1, LmjF.31.3180_mRNA-p1, LmjF.35.1310_mRNA-p1, LmjF.36.0020_mRNA-p1	LmxM.06.0010.1-p1, LmxM.15.0010.1-p1, LmxM.25.2450.1-p1, LmxM.30.3180.1-p1, LmxM.34.1310.1-p1, LmxM.36.0020.1-p1
OG0000015	LdBPK_160015200.1, LdBPK_160015300.1, LdBPK_160015400.1, LdBPK_160015500.1, LdBPK_160015600.1, LdBPK_160015700.1, LdBPK_160015800.1	LbrM.16.2.001010.1-p1, LbrM.16.2.204640.1-p1, LbrM.16.2.204670.1-p1	LINF_160015600-T1-p1, LINF_160015700-T1-p1, LINF_160015800-T1-p1, LINF_160015850-T1-p1, LINF_160015900-T1-p1, LINF_160016000-T1-p1	LmjF.16.1000_mRNA-p1, LmjF.16.1005_mRNA-p1, LmjF.16.1010_mRNA-p1, LmjF.16.1015_mRNA-p1, LmjF.16.1020_mRNA-p1, LmjF.16.1030_mRNA-p1, LmjF.16.1040_mRNA-p1, LmjF.16.1050_mRNA-p1, LmjF.16.1060_mRNA-p1	LmxM.16.1000.1-p1, LmxM.16.1005.1-p1, LmxM.16.1010.1-p1, LmxM.16.1010partial.1-p1, LmxM.16.1015.1-p1, LmxM.16.1020.1-p1, LmxM.16.1050.1-p1, LmxM.16.1060.1-p1
OG0000016	LdBPK_120012500.1, LdBPK_120012900.1, LdBPK_120013300.1, LdBPK_120013400.1, LdBPK_120013700.1, LdBPK_120013800.1, LdBPK_120014000.1, LdBPK_120014100.1, LdBPK_120014300.1, LdBPK_120014600.1, LdBPK_120015000.1	LbrM.12.2.000740.1-p1	LINF_120012700-T1-p1, LINF_120013000-T1-p1, LINF_120013400-T1-p1, LINF_120013600-T1-p1, LINF_120013900-T1-p1, LINF_120014300-T1-p1, LINF_120014900-T1-p1	LmjF.12.0715_mRNA-p1, LmjF.12.0770_mRNA-p1, LmjF.12.0800_mRNA-p1, LmjF.12.0820_mRNA-p1, LmjF.12.0840_mRNA-p1, LmjF.12.0867_mRNA-p1, LmjF.12.0895_mRNA-p1, LmjF.12.0930_mRNA-p1, LmjF.12.0950_mRNA-p1, LmjF.12.0970_mRNA-p1, LmjF.12.1030_mRNA-p1, LmjF.12.1050_mRNA-p1	LmxM.12.0867.1-p1
OG0000017	LdBPK_280035000.1, LdBPK_280035100.1, LdBPK_280035200.1, LdBPK_280035300.1, LdBPK_280035400.1, LdBPK_280035500.1, LdBPK_280035600.1	LbrM.28.2.208960.1-p1, LbrM.28.2.208970.1-p1, LbrM.28.2.208980.1-p1, LbrM.28.2.208990.1-p1, LbrM.28.2.209000.1-p1, LbrM.28.2.209010.1-p1, LbrM.28.2.209020.1-p1, LbrM.28.2.209030.1-p1, LbrM.28.2.209040.1-p1, LbrM.28.2.209050.1-p1	LINF_280035000-T1-p1, LINF_280035100-T1-p1, LINF_280035200-T1-p1, LINF_280035300-T1-p1, LINF_280035400-T1-p1, LINF_280035500-T1-p1, LINF_280035700-T1-p1, LINF_280035800-T1-p1, LINF_280035900-T1-p1, LINF_280036000-T1-p1	LmjF.28.2770_mRNA-p1, LmjF.28.2780_mRNA-p1	LmxM.28.2770.1-p1, LmxM.28.2780.1-p1
OG0000018	LdBPK_020005000.1, LdBPK_210005000.1, LdBPK_250031600.1, LdBPK_310042300.1, LdBPK_350005000.1, LdBPK_360005000.1	LbrM.01.2.201250.1-p1, LbrM.02.2.000160.1-p1, LbrM.02.2.000230.1-p1, LbrM.07.2.001250.1-p1, LbrM.15.2.204430.1-p1, LbrM.31.2.000570.1-p1	LINF_020005000-T1-p1, LINF_210005000-T1-p1, LINF_250031900-T1-p1, LINF_250032000-T1-p1, LINF_310041000-T1-p1, LINF_350005000-T1-p1, LINF_360005000-T1-p1	LmjF.02.0010_mRNA-p1, LmjF.07.1170_mRNA-p1, LmjF.21.0010_mRNA-p1, LmjF.25.2460_mRNA-p1, LmjF.31.3190_mRNA-p1, LmjF.35.0010_mRNA-p1, LmjF.36.0010_mRNA-p1	LmxM.07.1170.1-p1, LmxM.25.2460.1-p1, LmxM.30.3190.1-p1, LmxM.36.0010.1-p1
OG0000019	LdBPK_170008200.1, LdBPK_170008300.1, LdBPK_170008400.1, LdBPK_170008500.1, LdBPK_170008600.1	LbrM.17.2.204890.1-p1, LbrM.17.2.204900.1-p1, LbrM.17.2.204910.1-p1, LbrM.17.2.204920.1-p1, LbrM.17.2.204930.1-p1, LbrM.17.2.204940.1-p1	LINF_170007300-T1-p1, LINF_170007400-T1-p1, LINF_170007500-T1-p1, LINF_170007600-T1-p1, LINF_170007700-T1-p1, LINF_170007800-T1-p1	LmjF.17.0180_pseudogenic_transcript-p1, LmjF.17.0190_mRNA-p1, LmjF.17.0200_mRNA-p1, LmjF.17.0230_mRNA-p1, LmjF.17.0235_mRNA-p1, LmjF.17.0237_mRNA-p1	LmxM.17.0190.1-p1, LmxM.17.0190partial.1-p1, LmxM.17.0191.1-p1, LmxM.17.0200.1-p1, LmxM.17.0235.1-p1, LmxM.17.0236.1-p1, LmxM.17.0237.1-p1
OG0000020	LdBPK_360073300.1, LdBPK_360073400.1, LdBPK_360073500.1, LdBPK_360073600.1, LdBPK_360073700.1, LdBPK_360073800.1, LdBPK_360073900.1, LdBPK_360074000.1, LdBPK_360074100.1, LdBPK_360074200.1	LbrM.35.2.211530.1-p1, LbrM.35.2.211540.1-p1, LbrM.35.2.211550.1-p1, LbrM.35.2.211560.1-p1, LbrM.35.2.211570.1-p1	LINF_360072800-T1-p1, LINF_360072900-T1-p1, LINF_360073000-T1-p1, LINF_360073100-T1-p1, LINF_360073200-T1-p1, LINF_360073300-T1-p1, LINF_360073400-T1-p1, LINF_360073500-T1-p1, LINF_360073600-T1-p1	LmjF.36.6280_mRNA-p1, LmjF.36.6290_mRNA-p1, LmjF.36.6300_mRNA-p1	LmxM.36.6280.1-p1, LmxM.36.6290.1-p1, LmxM.36.6300.1-p1
OG0000021	LdBPK_210016700.1, LdBPK_210016800.1, LdBPK_210016900.1, LdBPK_290023900.1, LdBPK_290024000.1, LdBPK_290024100.1	LbrM.21.2.001140.1-p1, LbrM.21.2.207100.1-p1, LbrM.21.2.207110.1-p1, LbrM.21.2.207120.1-p1, LbrM.21.2.207130.1-p1, LbrM.21.2.207140.1-p1, LbrM.29.2.209190.1-p1	LINF_210016700-T1-p1, LINF_210016800-T1-p1, LINF_210016900-T1-p1, LINF_290023900-T1-p1, LINF_290024000-T1-p1, LINF_290024100-T1-p1	LmjF.21.0915_mRNA-p1, LmjF.21.0920_mRNA-p1, LmjF.21.0930_mRNA-p1, LmjF.29.1720_mRNA-p1, LmjF.29.1730_mRNA-p1, LmjF.29.1740_mRNA-p1	LmxM.08_29.1720.1-p1, LmxM.08_29.1730.1-p1, LmxM.08_29.1740.1-p1, LmxM.21.0920.1-p1
